Mode,Chronopotentiometry,,
Applied current (A),0.02,,
Applied potential (V),,,
Time (s),1800,,
Reference electrode potential (V vs. RHE),0.929,,
Working area (cm^2),2,,
Applied current density (mA/cm^2),10,,
Solution resistance (ohm),2.3,Compensation level (%),0
,,,
Time,Original Potential,Potential,
sec,V,"V vs. RHE, iR-corrected",
81.9,0.7876,1.7166,
82,0.7876,1.7166,
82.1,0.7876,1.7166,
82.2,0.7876,1.7166,
82.3,0.7877,1.7167,
82.4,0.7877,1.7167,
82.5,0.7877,1.7167,
82.6,0.7877,1.7167,
82.7,0.7877,1.7167,
82.8,0.7877,1.7167,
82.9,0.7877,1.7167,
83,0.7877,1.7167,
83.1,0.7878,1.7168,
83.2,0.7878,1.7168,
83.3,0.7878,1.7168,
83.4,0.7879,1.7169,
83.5,0.7878,1.7168,
83.6,0.7877,1.7167,
83.7,0.7878,1.7168,
83.8,0.7878,1.7168,
83.9,0.7879,1.7169,
84,0.7879,1.7169,
84.1,0.7879,1.7169,
84.2,0.7879,1.7169,
84.3,0.7879,1.7169,
84.4,0.7878,1.7168,
84.5,0.7879,1.7169,
84.6,0.788,1.717,
84.7,0.788,1.717,
84.8,0.7879,1.7169,
84.9,0.7879,1.7169,
85,0.7879,1.7169,
85.1,0.7879,1.7169,
85.2,0.7879,1.7169,
85.3,0.7879,1.7169,
85.4,0.7879,1.7169,
85.5,0.788,1.717,
85.6,0.7879,1.7169,
85.7,0.7879,1.7169,
85.8,0.788,1.717,
85.9,0.788,1.717,
86,0.788,1.717,
86.1,0.7879,1.7169,
86.2,0.788,1.717,
86.3,0.788,1.717,
86.4,0.788,1.717,
86.5,0.788,1.717,
86.6,0.788,1.717,
86.7,0.7881,1.7171,
86.8,0.7881,1.7171,
86.9,0.7881,1.7171,
87,0.7881,1.7171,
87.1,0.7882,1.7172,
87.2,0.7882,1.7172,
87.3,0.7882,1.7172,
87.4,0.7881,1.7171,
87.5,0.7881,1.7171,
87.6,0.7882,1.7172,
87.7,0.7881,1.7171,
87.8,0.7881,1.7171,
87.9,0.7882,1.7172,
88,0.7882,1.7172,
88.1,0.7883,1.7173,
88.2,0.7882,1.7172,
88.3,0.7882,1.7172,
88.4,0.7882,1.7172,
88.5,0.7882,1.7172,
88.6,0.7883,1.7173,
88.7,0.7883,1.7173,
88.8,0.7883,1.7173,
88.9,0.7883,1.7173,
